Requested on,Dataflow name,Dataflow refresh status,Table name,Partition name,Refresh status,Start time,End time,Duration,Rows processed,Bytes processed (KB),Max commit (KB),Processor Time,Wait time,Compute engine,Error,
2022-05-16 08:05:31,USA_Stage1,Failed,Journey_USA_Stage1,NA,Completed,2022-05-16 08:05:31,2022-05-16 08:07:02,00:01:30.4630,NA,NA,NA,NA,NA,NA,NA
2022-05-16 08:07:02,USA_Stage1,Failed,StravaData,NA,Completed,2022-05-16 08:07:02,2022-05-16 08:08:02,00:01:00.7430,NA,NA,NA,NA,NA,NA,NA
2022-05-16 08:08:02,USA_Stage1,Failed,StravaDataTotalDistance,NA,Failed,2022-05-16 08:08:02,2022-05-16 08:09:03,00:01:00.4800,NA,NA,NA,NA,NA,NA,Error: DataSource.Error: Microsoft SQL: Arithmetic overflow error converting nvarchar to data type numeric. Request ID: 411309ac-1884-d143-eee5-2171d2ebc7fc Activity ID: b80939c6-7cad-4f9d-ba2d-c13b4240b76d
